时间,储能有功功率(kW),电网功率(kW),负载功率(kW),SOC(%),光伏发电功率(kW)
2026-04-18 00:00:00,-45.4,-63.3,182.1,3,0.0
2026-04-18 00:05:00,-44.9,-341.4,-96.39999999999998,4,0.0
2026-04-18 00:10:00,-44.9,-621.9,-376.9,6,0.0
2026-04-18 00:15:00,-44.8,-600.6,-355.6,7,0.0
2026-04-18 00:20:00,-45.0,-435.0,-190.0,8,0.0
2026-04-18 00:25:00,-45.0,-377.1,-132.3,10,0.0
2026-04-18 00:30:00,-44.9,-256.2,-11.199999999999989,11,0.0
2026-04-18 00:35:00,-45.0,-190.5,54.5,12,0.0
2026-04-18 00:40:00,-45.0,-199.2,45.80000000000001,14,0.0
2026-04-18 00:45:00,-44.8,-193.2,51.80000000000001,15,0.0
2026-04-18 00:50:00,-45.0,-189.6,55.30000000000001,16,0.0
2026-04-18 00:55:00,-45.0,-278.1,-33.099999999999994,18,0.0
2026-04-18 01:00:00,-45.1,-217.2,27.80000000000001,19,0.0
2026-04-18 01:05:00,-45.0,-175.8,69.1,20,0.0
2026-04-18 01:10:00,-44.9,-182.4,62.599999999999994,21,0.0
2026-04-18 01:15:00,-45.0,-120.0,125.0,22,0.0
2026-04-18 01:20:00,-44.9,-108.0,136.9,24,0.0
2026-04-18 01:25:00,-44.9,-105.6,139.4,25,0.0
2026-04-18 01:30:00,-44.9,-76.8,168.3,26,0.0
2026-04-18 01:35:00,-45.0,-76.2,168.7,27,0.0
2026-04-18 01:40:00,-44.9,-64.2,180.7,28,0.0
2026-04-18 01:45:00,-45.0,-63.0,181.9,30,0.0
2026-04-18 01:50:00,-45.0,-151.8,93.2,31,0.0
2026-04-18 01:55:00,-45.1,-147.9,97.1,32,0.0
2026-04-18 02:00:00,-45.0,-117.6,127.3,33,0.0
2026-04-18 02:05:00,-44.9,-117.9,127.0,34,0.0
2026-04-18 02:10:00,-45.0,-168.3,76.8,36,0.0
2026-04-18 02:15:00,-44.9,-168.6,76.3,37,0.0
2026-04-18 02:20:00,-44.9,-165.0,80.0,38,0.0
2026-04-18 02:25:00,-44.9,-155.4,89.6,39,0.0
2026-04-18 02:30:00,-45.0,-210.9,34.099999999999994,40,0.0
2026-04-18 02:35:00,-44.9,-161.7,83.3,42,0.0
2026-04-18 02:40:00,-44.9,-131.4,113.4,43,0.0
2026-04-18 02:45:00,-45.0,-116.1,128.7,44,0.0
2026-04-18 02:50:00,-45.1,-91.5,153.6,45,0.0
2026-04-18 02:55:00,-45.1,-86.1,158.7,46,0.0
2026-04-18 03:00:00,-45.1,-80.1,165.0,48,0.0
2026-04-18 03:05:00,-45.0,-74.1,170.9,49,0.0
2026-04-18 03:10:00,-45.0,-152.4,92.6,50,0.0
2026-04-18 03:15:00,-44.9,-150.0,94.9,51,0.0
2026-04-18 03:20:00,-44.9,-131.4,113.7,52,0.0
2026-04-18 03:25:00,-44.9,-150.3,94.7,54,0.0
2026-04-18 03:30:00,-44.8,-137.4,107.5,55,0.0
2026-04-18 03:35:00,-45.0,-133.5,111.4,56,0.0
2026-04-18 03:40:00,-45.0,-92.7,152.2,57,0.0
2026-04-18 03:45:00,-44.9,-83.1,161.8,58,0.0
2026-04-18 03:50:00,-45.0,-83.1,161.9,60,0.0
2026-04-18 03:55:00,-45.0,-82.8,162.2,61,0.0
2026-04-18 04:00:00,-44.9,-157.5,87.5,62,0.0
2026-04-18 04:05:00,-44.9,-158.4,86.6,63,0.0
2026-04-18 04:10:00,-45.0,-138.3,106.7,64,0.0
2026-04-18 04:15:00,-45.0,-131.7,113.3,66,0.0
2026-04-18 04:20:00,-44.9,-102.9,142.0,67,0.0
2026-04-18 04:25:00,-45.0,-79.8,165.3,68,0.0
2026-04-18 04:30:00,-44.9,-80.4,164.5,69,0.0
2026-04-18 04:35:00,-45.1,-81.0,163.9,70,0.0
2026-04-18 04:40:00,-45.0,-66.3,178.7,72,0.0
2026-04-18 04:45:00,-44.9,-51.3,193.7,73,0.0
2026-04-18 04:50:00,-45.0,-50.1,194.9,74,0.0
2026-04-18 04:55:00,-45.0,-50.4,194.4,75,0.0
2026-04-18 05:00:00,-44.8,-50.7,194.1,76,0.0
2026-04-18 05:05:00,-45.0,-50.4,194.7,78,0.0
2026-04-18 05:10:00,-44.9,-50.4,194.6,79,0.0
2026-04-18 05:15:00,-44.9,-50.7,194.3,80,0.0
2026-04-18 05:20:00,-44.8,-51.0,193.9,81,0.0
2026-04-18 05:25:00,-44.9,-50.7,194.2,82,0.0
2026-04-18 05:30:00,-44.9,-50.7,194.2,84,0.0
2026-04-18 05:35:00,-45.0,-50.1,194.8,85,0.0
2026-04-18 05:40:00,-45.0,-50.4,194.4,86,0.0
2026-04-18 05:45:00,-45.0,-97.5,147.4,87,0.0
2026-04-18 05:50:00,-44.9,-93.9,151.0,88,0.0
2026-04-18 05:55:00,-45.0,-91.8,153.1,90,0.0
2026-04-18 06:00:00,-45.0,-96.0,149.1,91,1.181
2026-04-18 06:05:00,-44.9,-82.5,162.5,92,3.249
2026-04-18 06:10:00,-44.9,-178.8,66.1,93,5.757
2026-04-18 06:15:00,0.0,-128.7,71.30000000000001,98,9.128
2026-04-18 06:20:00,0.0,-122.7,77.3,98,11.776
2026-04-18 06:25:00,0.0,-126.6,73.4,98,14.613
2026-04-18 06:30:00,0.0,-62.4,137.6,98,18.157
2026-04-18 06:35:00,0.0,-75.6,124.4,98,22.611
2026-04-18 06:40:00,0.0,-30.3,169.7,98,27.787
2026-04-18 06:45:00,0.0,-18.0,182.0,98,32.546
2026-04-18 06:50:00,0.0,-99.9,100.1,98,37.055
2026-04-18 06:55:00,0.0,-132.9,67.1,98,42.408
2026-04-18 07:00:00,0.0,-117.3,82.7,98,47.465
2026-04-18 07:05:00,0.0,-103.8,96.2,98,53.305
2026-04-18 07:10:00,0.0,-71.4,128.6,98,60.283
2026-04-18 07:15:00,0.0,-40.5,159.5,98,67.929
2026-04-18 07:20:00,0.0,-18.6,181.4,98,75.692
2026-04-18 07:25:00,0.0,-73.5,126.5,98,83.035
2026-04-18 07:30:00,0.0,-69.3,130.7,98,90.798
2026-04-18 07:35:00,0.0,-152.4,47.599999999999994,98,95.912
2026-04-18 07:40:00,0.0,-242.1,-42.099999999999994,98,102.532
2026-04-18 07:45:00,0.0,-250.2,-50.19999999999999,98,109.938
2026-04-18 07:50:00,0.0,-190.8,9.199999999999989,98,117.16
2026-04-18 07:55:00,0.0,-165.9,34.099999999999994,98,123.66
2026-04-18 08:00:00,115.5,-7.5,78.9,98,132.031
2026-04-18 08:05:00,55.4,-6.0,138.5,96,138.881
2026-04-18 08:10:00,57.6,-11.4,130.9,95,142.974
2026-04-18 08:15:00,34.3,-5.4,160.0,94,151.466
2026-04-18 08:20:00,120.9,-6.6,72.5,92,161.886
2026-04-18 08:25:00,92.5,-9.0,98.3,89,171.344
2026-04-18 08:30:00,125.0,-148.5,-73.5,86,183.742
2026-04-18 08:35:00,125.0,-65.1,10.0,82,193.302
2026-04-18 08:40:00,74.1,4.8,122.8,79,202.188
2026-04-18 08:45:00,-79.3,-4.5,274.6,80,209.243
2026-04-18 08:50:00,-111.3,-4.8,306.5,83,201.949
2026-04-18 08:55:00,-69.7,0.3,270.0,85,208.548
2026-04-18 09:00:00,-69.7,-1.5,265.1,88,230.17
2026-04-18 09:05:00,-26.0,-4.8,221.1,90,195.989
2026-04-18 09:10:00,-38.6,-9.3,229.3,92,217.329
2026-04-18 09:15:00,12.5,-5.7,182.0,92,177.047
2026-04-18 09:20:00,-26.9,-6.3,220.6,93,223.027
2026-04-18 09:25:00,90.9,-14.7,94.4,90,162.476
2026-04-18 09:30:00,42.9,-9.9,147.1,89,150.542
2026-04-18 09:35:00,-49.0,0.9,249.9,89,163.717
2026-04-18 09:40:00,-60.2,-6.6,253.6,91,246.391
2026-04-18 09:45:00,-76.6,-3.3,273.3,91,283.396
2026-04-18 09:50:00,-10.4,6.0,216.4,92,220.124
2026-04-18 09:55:00,-25.9,-6.6,219.2,93,183.3
2026-04-18 10:00:00,-26.8,-6.3,220.7,94,161.093
2026-04-18 10:05:00,-62.9,-9.6,253.3,95,176.044
2026-04-18 10:10:00,-67.9,-42.3,225.5,96,227.391
2026-04-18 10:15:00,-46.6,-11.7,234.9,96,158.627
2026-04-18 10:20:00,-66.0,165.0,431.0,98,297.37
2026-04-18 10:25:00,0.0,39.3,239.3,98,170.053
