小时,模型充电量(度),订单充电量(度),差异(度),差异占订单比
00:00,8007.9,7286.5661,721.3339,0.098995
01:00,2888.7668,2475.2228,413.544,0.167073
02:00,2942.4085,2379.7526,562.6559,0.236435
03:00,3607.3916,3004.1464,603.2452,0.200804
04:00,2099.7336,1999.4235,100.3101,0.05017
05:00,1852.9518,1540.0427,312.9091,0.203182
06:00,4604.3936,3946.1067,658.2869,0.166819
07:00,6704.9398,7135.9772,-431.0374,-0.060403
08:00,6222.199,6078.1421,144.0569,0.023701
09:00,6718.1678,5891.7196,826.4482,0.140273
10:00,5559.7156,4643.5123,916.2033,0.197308
11:00,6809.3597,5681.9989,1127.3608,0.198409
12:00,10741.9708,8496.6087,2245.3621,0.264266
13:00,8057.0879,7257.3336,799.7543,0.110199
14:00,4230.5174,3555.507,675.0104,0.189849
15:00,3324.7514,2873.0582,451.6932,0.157217
16:00,3881.1424,3455.257,425.8854,0.123257
17:00,4566.3049,3819.3285,746.9764,0.195578
18:00,3399.1695,2674.8998,724.2697,0.270765
19:00,3815.4509,3083.6152,731.8357,0.23733
20:00,2571.2417,2072.579,498.6627,0.2406
21:00,1760.9917,1396.877,364.1147,0.260663
22:00,1439.0,1090.075,348.925,0.320093
23:00,1298.6584,953.7383,344.9201,0.361651
