日期,模型充电量(度),订单充电量(度),差异(度),差异占订单比
20260601,3270.404,2789.5161,480.8879,0.172391
20260602,3998.8604,3466.2761,532.5843,0.153647
20260603,4083.9733,3511.9702,572.0031,0.162872
20260604,3892.5666,3319.1726,573.394,0.172752
20260605,3869.0359,3287.749,581.2869,0.176804
20260606,3598.8241,3182.546,416.2781,0.1308
20260607,3060.3349,2615.7267,444.6082,0.169975
20260608,3480.9274,2989.8333,491.0941,0.164255
20260609,3457.8477,3051.2178,406.6299,0.133268
20260610,3526.2725,3178.1438,348.1287,0.109538
20260611,3576.9059,3133.9517,442.9542,0.14134
20260612,3605.8115,3131.3108,474.5007,0.151534
20260613,3885.0712,3454.4736,430.5976,0.124649
20260614,3385.6084,3012.4023,373.2061,0.12389
20260615,3287.903,2895.335,392.568,0.135586
20260616,3221.3317,2823.797,397.5347,0.14078
20260617,3455.5456,3044.81,410.7356,0.134897
20260618,3704.3539,3363.2652,341.0887,0.101416
20260619,2374.1132,2356.7679,17.3453,0.00736
20260620,3239.0237,2757.1949,481.8288,0.174753
20260621,3956.2748,3315.532,640.7428,0.193255
20260622,3444.1145,2876.04,568.0745,0.19752
20260623,4022.5514,3347.1976,675.3538,0.201767
20260624,3449.8309,2815.2592,634.5717,0.225404
20260625,3999.7403,3358.2404,641.4999,0.191023
20260626,3944.3762,3311.4028,632.9734,0.19115
20260627,3510.1943,3042.4835,467.7108,0.153727
20260628,3793.0393,3289.8765,503.1628,0.152943
20260629,3510.467,2993.1918,517.2752,0.172817
20260630,3498.9112,2994.3838,504.5274,0.168491
20260701,0.0,82.4204,-82.4204,-1.0
