日期,小时,模型充电量(度),订单充电量(度),差异(模型-订单)(度)
20260601,00:00,305.1,265.0259,40.0741
20260601,01:00,94.6583,96.9948,-2.3365
20260601,02:00,69.675,5.5243,64.1507
20260601,03:00,108.625,72.715,35.91
20260601,04:00,82.4,62.953,19.447
20260601,05:00,36.3518,37.9332,-1.5814
20260601,06:00,158.8675,144.8594,14.0081
20260601,07:00,221.0267,239.5672,-18.5405
20260601,08:00,137.9892,142.1438,-4.1546
20260601,09:00,119.3802,90.6561,28.7241
20260601,10:00,167.962,155.7863,12.1757
20260601,11:00,180.0641,164.0245,16.0396
20260601,12:00,431.76,332.6984,99.0616
20260601,13:00,293.4064,271.0556,22.3508
20260601,14:00,185.6374,160.6738,24.9636
20260601,15:00,108.3537,78.5841,29.7696
20260601,16:00,107.8674,107.26,0.6074
20260601,17:00,130.7343,104.6896,26.0447
20260601,18:00,141.8912,121.2083,20.6829
20260601,19:00,50.5038,37.1399,13.3639
20260601,20:00,59.175,49.2476,9.9274
20260601,21:00,31.525,20.3902,11.1348
20260601,22:00,32.2417,20.1313,12.1104
20260601,23:00,15.2083,8.2538,6.9545
20260602,00:00,284.95,270.1578,14.7922
20260602,01:00,72.9167,48.185,24.7317
20260602,02:00,111.2167,93.6196,17.5971
20260602,03:00,149.25,135.5578,13.6922
20260602,04:00,56.7667,46.0928,10.6739
20260602,05:00,97.2675,89.1998,8.0677
20260602,06:00,92.4914,78.3929,14.0985
20260602,07:00,316.2254,315.8228,0.4026
20260602,08:00,211.4542,211.6527,-0.1985
20260602,09:00,221.8976,172.4021,49.4955
20260602,10:00,256.1488,223.9041,32.2447
20260602,11:00,193.6446,171.8713,21.7733
20260602,12:00,397.8841,330.9444,66.9397
20260602,13:00,309.7327,283.9084,25.8243
20260602,14:00,232.048,187.6074,44.4406
20260602,15:00,114.4104,90.1505,24.2599
20260602,16:00,130.4958,95.5607,34.9351
20260602,17:00,188.8647,169.302,19.5627
20260602,18:00,165.3408,137.8719,27.4689
20260602,19:00,136.0543,116.3876,19.6667
20260602,20:00,76.925,63.2803,13.6447
20260602,21:00,57.0,42.799,14.201
20260602,22:00,66.5,47.3431,19.1569
20260602,23:00,59.375,44.262,15.113
20260603,00:00,293.5917,269.802,23.7897
20260603,01:00,55.3583,44.4635,10.8948
20260603,02:00,151.7083,117.9424,33.7659
20260603,03:00,159.2917,131.8691,27.4226
20260603,04:00,135.0833,136.1205,-1.0372
20260603,05:00,67.7496,54.2297,13.5199
20260603,06:00,146.3868,123.4821,22.9047
20260603,07:00,169.8009,198.1412,-28.3403
20260603,08:00,181.933,176.917,5.016
20260603,09:00,224.9701,212.7266,12.2435
20260603,10:00,254.7979,202.3788,52.4191
20260603,11:00,254.4306,187.8056,66.625
20260603,12:00,340.7229,266.5169,74.206
20260603,13:00,328.346,300.6811,27.6649
20260603,14:00,121.6635,81.0953,40.5682
20260603,15:00,110.6822,85.772,24.9102
20260603,16:00,226.0153,217.5617,8.4536
20260603,17:00,182.6762,143.2661,39.4101
20260603,18:00,229.0603,199.0807,29.9796
20260603,19:00,189.0797,155.2368,33.8429
20260603,20:00,111.975,93.5721,18.4029
20260603,21:00,59.675,44.9197,14.7553
20260603,22:00,9.2,1.9702,7.2298
20260603,23:00,79.775,66.4192,13.3558
20260604,00:00,207.8583,186.5641,21.2942
20260604,01:00,47.7917,43.8076,3.9841
20260604,02:00,81.7583,59.2039,22.5544
20260604,03:00,184.8917,128.4585,56.4332
20260604,04:00,49.1667,74.6926,-25.5259
20260604,05:00,61.5748,42.1129,19.4619
20260604,06:00,148.2655,123.6865,24.579
20260604,07:00,247.6558,261.5731,-13.9173
20260604,08:00,291.1568,267.1471,24.0097
20260604,09:00,278.6739,244.3943,34.2796
20260604,10:00,220.4992,186.701,33.7982
20260604,11:00,254.1631,208.0473,46.1158
20260604,12:00,328.0062,244.8976,83.1086
20260604,13:00,248.1222,217.3856,30.7366
20260604,14:00,190.4855,162.5239,27.9616
20260604,15:00,192.6333,175.6764,16.9569
20260604,16:00,185.0149,161.465,23.5499
20260604,17:00,171.0608,145.0502,26.0106
20260604,18:00,144.6212,110.4547,34.1665
20260604,19:00,142.3917,111.9378,30.4539
20260604,20:00,87.75,70.7892,16.9608
20260604,21:00,40.625,25.327,15.298
20260604,22:00,38.325,29.6867,8.6383
20260604,23:00,50.075,37.5897,12.4853
20260605,00:00,225.7417,185.7076,40.0341
20260605,01:00,47.7,31.4136,16.2864
20260605,02:00,122.2,97.0509,25.1491
20260605,03:00,93.8583,92.0313,1.827
20260605,04:00,31.025,23.7327,7.2923
20260605,05:00,113.7495,87.8434,25.9061
20260605,06:00,167.8838,145.9325,21.9513
20260605,07:00,206.3899,217.3943,-11.0044
20260605,08:00,273.8516,269.3625,4.4891
20260605,09:00,325.6856,267.2618,58.4238
20260605,10:00,297.6362,252.2026,45.4336
20260605,11:00,320.2584,274.6602,45.5982
20260605,12:00,395.1809,313.2188,81.9621
20260605,13:00,293.963,255.2738,38.6892
20260605,14:00,150.4121,116.73,33.6821
20260605,15:00,90.9688,75.2566,15.7122
20260605,16:00,104.7862,89.3414,15.4448
20260605,17:00,148.799,112.176,36.623
20260605,18:00,112.0726,101.6855,10.3871
20260605,19:00,71.0983,54.9345,16.1638
20260605,20:00,27.85,17.4727,10.3773
20260605,21:00,71.4,53.9557,17.4443
20260605,22:00,92.9,80.6517,12.2483
20260605,23:00,83.625,72.459,11.166
20260606,00:00,279.4,256.0311,23.3689
20260606,01:00,100.7583,71.5736,29.1847
20260606,02:00,97.8167,92.1907,5.626
20260606,03:00,144.2667,117.3806,26.8861
20260606,04:00,84.4833,86.4835,-2.0002
20260606,05:00,103.1082,86.8874,16.2208
20260606,06:00,102.4756,91.3634,11.1122
20260606,07:00,217.0644,233.0107,-15.9463
20260606,08:00,168.517,173.651,-5.134
20260606,09:00,221.9009,197.1738,24.7271
20260606,10:00,144.9698,118.1017,26.8681
20260606,11:00,225.0532,192.6763,32.3769
20260606,12:00,359.6701,299.2617,60.4084
20260606,13:00,260.3643,223.7146,36.6497
20260606,14:00,64.5647,55.4656,9.0991
20260606,15:00,186.1884,158.5228,27.6656
20260606,16:00,133.5968,136.7524,-3.1556
20260606,17:00,180.1048,162.4957,17.6091
20260606,18:00,110.9292,89.2614,21.6678
20260606,19:00,98.925,82.4614,16.4636
20260606,20:00,90.45,74.9114,15.5386
20260606,21:00,125.25,113.7742,11.4758
20260606,22:00,37.9,20.3715,17.5285
20260606,23:00,61.0667,49.0295,12.0372
20260607,00:00,215.0,201.2061,13.7939
20260607,01:00,133.2167,80.2469,52.9698
20260607,02:00,120.15,100.4444,19.7056
20260607,03:00,81.8,74.0365,7.7635
20260607,04:00,85.5583,79.2814,6.2769
20260607,05:00,54.3032,44.9128,9.3904
20260607,06:00,141.6356,127.5788,14.0568
20260607,07:00,248.8217,252.453,-3.6313
20260607,08:00,252.2578,235.1122,17.1456
20260607,09:00,198.2455,187.5251,10.7204
20260607,10:00,165.0667,140.6859,24.3808
20260607,11:00,196.3128,176.1385,20.1743
20260607,12:00,307.6915,231.6218,76.0697
20260607,13:00,127.5408,102.0652,25.4756
20260607,14:00,52.4692,34.2706,18.1986
20260607,15:00,48.5465,38.1207,10.4258
20260607,16:00,63.435,49.635,13.8
20260607,17:00,136.1632,133.3939,2.7693
20260607,18:00,62.0419,43.8334,18.2085
20260607,19:00,112.6285,90.9902,21.6383
20260607,20:00,102.075,78.7476,23.3274
20260607,21:00,67.4,56.7364,10.6636
20260607,22:00,37.55,32.3682,5.1818
20260607,23:00,50.425,24.3221,26.1029
20260608,00:00,289.6667,264.3135,25.3532
20260608,01:00,137.9917,110.128,27.8637
20260608,02:00,65.2083,56.4549,8.7534
20260608,03:00,164.175,127.1783,36.9967
20260608,04:00,78.525,74.2502,4.2748
20260608,05:00,68.9777,65.2595,3.7182
20260608,06:00,189.2264,161.1233,28.1031
20260608,07:00,183.4504,205.2617,-21.8113
20260608,08:00,191.3844,181.958,9.4264
20260608,09:00,238.0229,216.205,21.8179
20260608,10:00,184.8843,138.1361,46.7482
20260608,11:00,172.2342,141.4634,30.7708
20260608,12:00,375.296,295.2719,80.0241
20260608,13:00,311.2759,289.8377,21.4382
20260608,14:00,133.7483,106.1281,27.6202
20260608,15:00,89.8469,80.4177,9.4292
20260608,16:00,98.7806,80.4074,18.3732
20260608,17:00,110.246,79.5966,30.6494
20260608,18:00,91.795,64.197,27.598
20260608,19:00,159.3167,147.9161,11.4006
20260608,20:00,78.875,59.1511,19.7239
