时间,日期,小时,平均基础负荷(kW),该小时电量(度),平均光伏功率(kW),平均订单充电功率(kW),平均储能功率(kW),最大光伏功率(kW),最大订单充电功率(kW),最大储能绝对功率(kW),满足条件的5分钟点数
2026-06-03 22:00:00,20260603,22:00,9.2,9.2,0.0,1.9702,0.0,0.0,23.6424,0.0,11
2026-06-08 23:00:00,20260608,23:00,8.3,8.3,0.0,0.0,0.0,0.0,0.0,0.0,12
2026-06-11 22:00:00,20260611,22:00,9.525,9.525,0.0,4.5915,0.0,0.0,30.7237,0.0,10
2026-06-12 22:00:00,20260612,22:00,12.425,12.425,0.0,3.9184,0.0,0.0,34.3216,0.0,10
2026-06-16 22:00:00,20260616,22:00,11.4583,11.4583,0.0,5.906,-0.1,0.0,54.4866,0.6,10
2026-06-16 23:00:00,20260616,23:00,6.85,6.85,0.0,0.0,-0.1583,0.0,0.0,0.7,12
2026-06-22 23:00:00,20260622,23:00,18.15,18.15,0.0,0.0121,0.0,0.0,0.1457,0.0,12
2026-06-25 22:00:00,20260625,22:00,7.975,7.975,0.0,0.0,0.0,0.0,0.0,0.0,12
2026-06-25 23:00:00,20260625,23:00,7.375,7.375,0.0,0.6021,0.0,0.0,7.2256,0.0,11
2026-06-26 22:00:00,20260626,22:00,12.65,12.65,0.0,5.3381,0.0,0.0,39.2993,0.0,10
