时间,总站总负载(kW),订单折算充电功率(kW),拟合工厂功率(kW)
2026-06-01 00:00:00,8.5,106.0379,0.0
2026-06-01 00:05:00,246.8,205.4299,41.3701
2026-06-01 00:10:00,450.2,342.1679,108.0321
2026-06-01 00:15:00,442.8,341.4045,101.3955
2026-06-01 00:20:00,399.8,272.9999,126.8001
2026-06-01 00:25:00,326.0,306.7662,19.2338
2026-06-01 00:30:00,460.2,340.6074,119.5926
2026-06-01 00:35:00,388.5,340.6074,47.8926
2026-06-01 00:40:00,308.1,329.3186,0.0
2026-06-01 00:45:00,231.6,240.6508,0.0
2026-06-01 00:50:00,228.4,203.757,24.643
2026-06-01 00:55:00,170.3,150.5632,19.7368
2026-06-01 01:00:00,139.2,106.248,32.952
2026-06-01 01:05:00,100.9,66.1212,34.7788
2026-06-01 01:10:00,67.4,110.1151,0.0
2026-06-01 01:15:00,137.9,114.8229,23.0771
2026-06-01 01:20:00,119.8,114.8229,4.9771
2026-06-01 01:25:00,109.9,117.9767,0.0
2026-06-01 01:30:00,99.9,126.7992,0.0
2026-06-01 01:35:00,71.2,97.6126,0.0
2026-06-01 01:40:00,104.9,89.4582,15.4418
2026-06-01 01:45:00,88.3,89.4582,0.0
2026-06-01 01:50:00,72.1,85.1907,0.0
2026-06-01 01:55:00,24.4,45.3116,0.0
2026-06-01 02:00:00,23.3,45.3116,0.0
2026-06-01 02:05:00,23.4,20.9804,2.4196
2026-06-01 02:10:00,7.7,0.0,7.7
2026-06-01 02:15:00,8.0,0.0,8.0
2026-06-01 02:20:00,7.3,0.0,7.3
2026-06-01 02:25:00,50.8,0.0,50.8
2026-06-01 02:30:00,166.2,0.0,166.2
2026-06-01 02:35:00,160.2,0.0,160.2
2026-06-01 02:40:00,141.8,0.0,141.8
2026-06-01 02:45:00,98.7,0.0,98.7
2026-06-01 02:50:00,82.9,0.0,82.9
2026-06-01 02:55:00,65.8,0.0,65.8
2026-06-01 03:00:00,68.7,0.0,68.7
2026-06-01 03:05:00,52.5,35.7196,16.7804
2026-06-01 03:10:00,185.1,113.6908,71.4092
2026-06-01 03:15:00,166.7,100.0737,66.6263
2026-06-01 03:20:00,64.4,90.2942,0.0
2026-06-01 03:25:00,135.3,59.6425,75.6575
2026-06-01 03:30:00,75.3,27.9211,47.3789
2026-06-01 03:35:00,55.1,27.9211,27.1789
2026-06-01 03:40:00,52.5,69.6943,0.0
2026-06-01 03:45:00,164.1,115.8743,48.2257
2026-06-01 03:50:00,157.1,115.8743,41.2257
2026-06-01 03:55:00,126.7,115.8743,10.8257
2026-06-01 04:00:00,107.7,115.8743,0.0
2026-06-01 04:05:00,108.1,105.704,2.396
2026-06-01 04:10:00,76.0,75.7283,0.2717
2026-06-01 04:15:00,70.9,79.3375,0.0
2026-06-01 04:20:00,132.5,110.6561,21.8439
2026-06-01 04:25:00,133.5,58.5683,74.9317
2026-06-01 04:30:00,83.6,34.9278,48.6722
2026-06-01 04:35:00,85.9,34.9278,50.9722
2026-06-01 04:40:00,67.8,34.9278,32.8722
2026-06-01 04:45:00,52.3,34.9278,17.3722
2026-06-01 04:50:00,38.9,34.9278,3.9722
2026-06-01 04:55:00,31.6,34.9278,0.0
2026-06-01 05:00:00,29.8,34.9278,0.0
2026-06-01 05:05:00,19.7,34.9278,0.0
2026-06-01 05:10:00,19.6,34.9278,0.0
2026-06-01 05:15:00,19.5,34.9278,0.0
2026-06-01 05:20:00,20.6,34.9278,0.0
2026-06-01 05:25:00,22.4,34.9278,0.0
2026-06-01 05:30:00,15.4,19.6707,0.0
2026-06-01 05:35:00,33.8,17.9515,15.8485
2026-06-01 05:40:00,33.7,42.9648,0.0
2026-06-01 05:45:00,73.321,45.9514,27.3696
2026-06-01 05:50:00,72.295,45.9514,26.3436
2026-06-01 05:55:00,76.105,73.141,2.964
2026-06-01 06:00:00,114.192,73.6019,40.5901
2026-06-01 06:05:00,107.539,73.6019,33.9371
2026-06-01 06:10:00,97.472,73.6019,23.8701
2026-06-01 06:15:00,89.43,75.5237,13.9063
2026-06-01 06:20:00,122.78,171.613,0.0
2026-06-01 06:25:00,235.468,173.8806,61.5874
2026-06-01 06:30:00,219.821,173.8806,45.9404
2026-06-01 06:35:00,197.407,163.2293,34.1777
2026-06-01 06:40:00,152.978,166.3077,0.0
2026-06-01 06:45:00,213.74,200.4394,13.3006
2026-06-01 06:50:00,204.912,200.4394,4.4726
2026-06-01 06:55:00,150.671,192.1938,0.0
2026-06-01 07:00:00,95.602,75.1291,20.4729
2026-06-01 07:05:00,61.505,151.9496,0.0
2026-06-01 07:10:00,208.921,132.1797,76.7413
2026-06-01 07:15:00,205.105,132.1797,72.9253
2026-06-01 07:20:00,179.908,158.4754,21.4326
2026-06-01 07:25:00,174.563,161.1823,13.3807
2026-06-01 07:30:00,153.294,199.1673,0.0
2026-06-01 07:35:00,242.847,252.3767,0.0
2026-06-01 07:40:00,451.373,329.297,122.076
2026-06-01 07:45:00,458.9,382.2217,76.6783
2026-06-01 07:50:00,526.814,456.232,70.582
2026-06-01 07:55:00,493.488,444.4158,49.0722
2026-06-01 08:00:00,320.503,245.9297,74.5733
2026-06-01 08:05:00,268.343,259.5168,8.8262
2026-06-01 08:10:00,254.64,218.9897,35.6503
2026-06-01 08:15:00,163.888,145.9546,17.9334
2026-06-01 08:20:00,148.576,82.8682,65.7078
2026-06-01 08:25:00,55.348,60.4649,0.0
2026-06-01 08:30:00,153.928,107.8496,46.0784
2026-06-01 08:35:00,212.236,126.0971,86.1389
2026-06-01 08:40:00,203.662,146.3073,57.3547
2026-06-01 08:45:00,216.018,133.9274,82.0906
2026-06-01 08:50:00,157.006,131.8016,25.2044
2026-06-01 08:55:00,101.723,46.0188,55.7042
2026-06-01 09:00:00,85.353,29.8507,55.5023
2026-06-01 09:05:00,104.791,22.6994,82.0916
2026-06-01 09:10:00,99.219,6.5071,92.7119
2026-06-01 09:15:00,59.428,6.2811,53.1469
2026-06-01 09:20:00,101.756,74.7514,27.0046
2026-06-01 09:25:00,280.228,155.1805,125.0475
2026-06-01 09:30:00,298.976,155.584,143.392
2026-06-01 09:35:00,289.129,141.6236,147.5054
2026-06-01 09:40:00,174.958,126.4006,48.5574
2026-06-01 09:45:00,204.69,127.0987,77.5913
2026-06-01 09:50:00,174.453,127.0987,47.3543
2026-06-01 09:55:00,159.581,114.7978,44.7832
2026-06-01 10:00:00,235.75,142.7256,93.0244
2026-06-01 10:05:00,219.637,192.2019,27.4351
2026-06-01 10:10:00,263.927,175.6425,88.2845
2026-06-01 10:15:00,245.501,173.4755,72.0255
2026-06-01 10:20:00,248.279,169.8832,78.3958
2026-06-01 10:25:00,245.386,154.2794,91.1066
2026-06-01 10:30:00,231.125,154.2794,76.8456
2026-06-01 10:35:00,204.283,117.4052,86.8778
