日期,总站总负载(度),订单充电量(度),原拟合工厂用电(度),夜间基础负荷封顶值(度),夜间超基线残余(度),新版修正后厂区用电(度)
20260601,3770.404,2789.5161,1071.9635,95.5563,182.3031,889.6604
20260602,4498.8604,3466.276,1133.1347,97.65,186.6454,946.4893
20260603,4583.9734,3511.9703,1167.5716,97.65,203.2644,964.3072
20260604,4392.5666,3319.1727,1146.8876,91.2391,187.9759,958.9117
20260605,4369.0359,3287.7491,1157.4002,97.65,160.0448,997.3554
20260606,4098.8239,3182.546,1027.7345,97.65,183.7923,843.9422
20260607,3560.0061,2615.7267,1024.6482,97.65,185.7664,838.8818
20260608,3980.9274,2989.8333,1080.378,97.65,161.1688,919.2092
20260609,3957.8476,3051.2179,1022.6372,91.7206,164.3707,858.2665
20260610,4026.1955,3178.1439,973.4718,97.65,174.9698,798.502
20260611,4076.8625,3133.9517,1034.1859,87.6128,195.6432,838.5427
20260612,4105.4735,3131.3105,1082.275,91.3101,157.438,924.837
20260613,4385.0712,3454.4735,1016.1815,97.65,143.8907,872.2908
20260614,3885.6085,3012.4022,971.8202,97.4383,120.7753,851.0449
20260615,3787.903,2895.3349,991.9478,95.4868,147.6146,844.3332
20260616,3720.7347,2823.797,978.5558,96.2435,133.126,845.4298
20260617,3954.0981,3044.81,1023.4933,89.3476,179.2612,844.2321
20260618,4204.188,3363.2653,955.4845,96.1421,164.4099,791.0746
20260619,2836.9132,2356.7679,627.8429,95.7523,102.9957,524.8472
20260620,3739.0237,2757.1949,1072.0433,91.0146,148.0455,923.9978
20260621,4456.2748,3315.5323,1243.5062,97.65,243.2109,1000.2953
20260622,3944.1145,2876.0398,1119.9747,97.65,175.2215,944.7532
20260623,4522.5514,3347.1975,1270.5624,97.0228,201.7118,1068.8506
20260624,3947.3475,2815.2593,1204.9033,92.4512,186.5163,1018.387
20260625,4499.7404,3358.2403,1229.0656,96.15,209.8783,1019.1873
20260626,4444.3761,3311.4027,1200.4447,95.6346,168.4539,1031.9908
20260627,4009.6814,3042.4835,1083.0577,97.65,149.5272,933.5305
20260628,4293.0393,3289.8766,1122.8044,97.65,205.8719,916.9325
20260629,4010.0422,2993.1918,1121.8684,91.783,164.2597,957.6087
20260630,3998.9113,2994.3841,1081.8317,97.3502,139.3231,942.5086
