小时,总站总负载(度),订单充电量(度),拟合工厂用电(度),工厂占总站负载比
00:00,8007.9,7204.1457,1348.1861,0.168357
01:00,2888.7667,2475.2228,624.1139,0.216049
02:00,2942.4083,2379.7526,719.0244,0.244366
03:00,3607.3917,3004.1464,811.1057,0.224845
04:00,2099.7333,1999.4235,351.6916,0.167493
05:00,1852.9516,1540.0427,460.0863,0.248299
06:00,4604.3938,3946.1067,795.7629,0.172827
07:00,8204.9398,7135.9772,1273.6925,0.155235
08:00,7719.3669,6078.1421,1707.9329,0.221253
09:00,8200.4176,5891.7196,2353.4268,0.286989
10:00,7057.8859,4643.5123,2445.1485,0.346442
11:00,8306.8763,5681.9989,2644.4276,0.318342
12:00,10741.9705,8496.6087,2339.2261,0.217765
13:00,9557.088,7257.3336,2328.7135,0.243663
14:00,5729.3093,3555.507,2190.2527,0.382289
15:00,4810.9108,2873.0582,1952.8752,0.405926
16:00,5380.1572,3455.257,1949.7157,0.36239
17:00,6063.6164,3819.3285,2267.9705,0.374029
18:00,3399.1695,2674.8998,829.9231,0.244155
19:00,3815.4509,3083.6152,879.0032,0.23038
20:00,2571.2417,2072.579,641.9472,0.249664
21:00,1760.9917,1396.877,455.2428,0.258515
22:00,1439.0,1090.075,428.3455,0.297669
23:00,1298.6583,953.7383,439.862,0.338705
