日期,总站总负载(度),订单充电量(度),拟合工厂用电(度),工厂占总站负载比
20260601,3770.4042,2789.5161,1071.9636,0.28431
20260602,4498.8604,3466.2761,1133.1347,0.251871
20260603,4583.9734,3511.9702,1167.5715,0.254707
20260604,4392.5666,3319.1726,1146.8876,0.261097
20260605,4369.036,3287.749,1157.4002,0.26491
20260606,4098.824,3182.546,1027.7346,0.250739
20260607,3560.0061,2615.7267,1024.6484,0.287822
20260608,3980.9274,2989.8333,1080.3778,0.271388
20260609,3957.8477,3051.2178,1022.6372,0.258382
20260610,4026.1954,3178.1438,973.4717,0.241785
20260611,4076.8624,3133.9517,1034.1859,0.253672
20260612,4105.4736,3131.3108,1082.2749,0.263618
20260613,4385.0712,3454.4736,1016.1817,0.231737
20260614,3885.6085,3012.4023,971.8201,0.250108
20260615,3787.9031,2895.335,991.9478,0.261873
20260616,3720.7347,2823.797,978.5559,0.263001
20260617,3954.0982,3044.81,1023.4935,0.258844
20260618,4204.1878,3363.2652,955.4845,0.22727
20260619,2836.9131,2356.7679,627.843,0.221312
20260620,3739.0237,2757.1949,1072.0431,0.286717
20260621,4456.2748,3315.532,1243.5062,0.279046
20260622,3944.1145,2876.04,1119.9747,0.283961
20260623,4522.5514,3347.1976,1270.5624,0.280939
20260624,3947.3475,2815.2592,1204.9034,0.305244
20260625,4499.7403,3358.2404,1229.0654,0.273141
20260626,4444.3762,3311.4028,1200.4449,0.270104
20260627,4009.6813,3042.4835,1083.0578,0.270111
20260628,4293.0392,3289.8765,1122.8043,0.261541
20260629,4010.0422,2993.1918,1121.8683,0.279765
20260630,3998.9112,2994.3838,1081.8317,0.270532
