日期,小时,总站总负载(度),订单充电量(度),拟合工厂用电(度),拟合工厂平均功率(kW)
20260601,00:00,305.1,265.0259,50.7247,50.7247
20260601,01:00,94.6583,96.9948,9.2689,9.2689
20260601,02:00,69.675,5.5243,65.985,65.985
20260601,03:00,108.625,72.715,39.5007,39.5007
20260601,04:00,82.4,62.953,21.1087,21.1087
20260601,05:00,36.3518,37.9332,6.0438,6.0438
20260601,06:00,158.8675,144.8594,22.6485,22.6485
20260601,07:00,271.0267,239.5672,43.6134,43.6134
20260601,08:00,187.9892,142.1438,46.2718,46.2718
20260601,09:00,169.3802,90.6561,78.724,78.724
20260601,10:00,217.962,155.7863,62.1757,62.1757
20260601,11:00,230.0641,164.0245,66.6026,66.6026
20260601,12:00,431.76,332.6984,112.2516,112.2516
20260601,13:00,343.4064,271.0556,75.7229,75.7229
20260601,14:00,235.6374,160.6738,74.9636,74.9636
20260601,15:00,158.3537,78.5841,79.7697,79.7697
20260601,16:00,157.8674,107.26,55.3155,55.3155
20260601,17:00,180.7343,104.6896,76.0448,76.0448
20260601,18:00,141.8912,121.2083,25.1233,25.1233
20260601,19:00,50.5038,37.1399,14.242,14.242
20260601,20:00,59.175,49.2476,12.042,12.042
20260601,21:00,31.525,20.3902,11.1348,11.1348
20260601,22:00,32.2417,20.1313,14.4821,14.4821
20260601,23:00,15.2083,8.2538,8.2034,8.2034
20260602,00:00,284.95,270.1578,54.6539,54.6539
20260602,01:00,72.9167,48.185,25.7154,25.7154
20260602,02:00,111.2167,93.6196,20.6803,20.6803
20260602,03:00,149.25,135.5578,24.3951,24.3951
20260602,04:00,56.7667,46.0928,16.9146,16.9146
20260602,05:00,97.2675,89.1998,12.2635,12.2635
20260602,06:00,92.4914,78.3929,15.9846,15.9846
20260602,07:00,366.2254,315.8228,56.345,56.345
20260602,08:00,261.4542,211.6527,49.8015,49.8015
20260602,09:00,271.8976,172.4021,99.4955,99.4955
20260602,10:00,306.1488,223.9041,83.2698,83.2698
20260602,11:00,243.6446,171.8713,73.0572,73.0572
20260602,12:00,397.8841,330.9444,68.0338,68.0338
20260602,13:00,359.7327,283.9084,76.357,76.357
20260602,14:00,282.048,187.6074,94.4406,94.4406
20260602,15:00,164.4104,90.1505,74.2599,74.2599
20260602,16:00,180.4958,95.5607,84.9352,84.9352
20260602,17:00,238.8647,169.302,72.8592,72.8592
20260602,18:00,165.3408,137.8719,32.9871,32.9871
20260602,19:00,136.0543,116.3876,23.3428,23.3428
20260602,20:00,76.925,63.2803,21.57,21.57
20260602,21:00,57.0,42.799,15.4686,15.4686
20260602,22:00,66.5,47.3431,19.975,19.975
20260602,23:00,59.375,44.262,16.3291,16.3291
20260603,00:00,293.5917,269.802,45.3585,45.3585
20260603,01:00,55.3583,44.4635,13.5844,13.5844
20260603,02:00,151.7083,117.9424,36.4715,36.4715
20260603,03:00,159.2917,131.8691,33.3346,33.3346
20260603,04:00,135.0833,136.1205,11.0845,11.0845
20260603,05:00,67.7496,54.2297,22.0854,22.0854
20260603,06:00,146.3868,123.4821,31.4485,31.4485
20260603,07:00,219.8009,198.1412,28.4194,28.4194
20260603,08:00,231.933,176.917,55.4919,55.4919
20260603,09:00,274.9701,212.7266,63.5557,63.5557
20260603,10:00,304.7979,202.3788,102.4191,102.4191
20260603,11:00,304.4306,187.8056,116.625,116.625
20260603,12:00,340.7229,266.5169,74.206,74.206
20260603,13:00,378.346,300.6811,77.7114,77.7114
20260603,14:00,171.6635,81.0953,90.5682,90.5682
20260603,15:00,160.6823,85.772,74.9102,74.9102
20260603,16:00,276.0153,217.5617,58.8003,58.8003
20260603,17:00,232.6762,143.2661,92.5015,92.5015
20260603,18:00,229.0603,199.0807,36.0927,36.0927
20260603,19:00,189.0797,155.2368,39.7752,39.7752
20260603,20:00,111.975,93.5721,20.7084,20.7084
20260603,21:00,59.675,44.9197,14.7553,14.7553
20260603,22:00,9.2,1.9702,8.475,8.475
20260603,23:00,79.775,66.4192,19.1889,19.1889
20260604,00:00,207.8583,186.5641,32.6809,32.6809
20260604,01:00,47.7917,43.8076,10.1228,10.1228
20260604,02:00,81.7583,59.2039,24.4313,24.4313
20260604,03:00,184.8917,128.4585,57.9697,57.9697
20260604,04:00,49.1667,74.6926,1.7266,1.7266
20260604,05:00,61.5748,42.1129,24.6685,24.6685
20260604,06:00,148.2655,123.6865,25.0771,25.0771
20260604,07:00,297.6558,261.5731,38.9609,38.9609
20260604,08:00,341.1568,267.1471,75.0435,75.0435
20260604,09:00,328.6739,244.3943,85.2755,85.2755
20260604,10:00,270.4992,186.701,84.8882,84.8882
20260604,11:00,304.1631,208.0473,96.1158,96.1158
20260604,12:00,328.0062,244.8976,83.1086,83.1086
20260604,13:00,298.1222,217.3856,80.7365,80.7365
20260604,14:00,240.4855,162.5239,81.3927,81.3927
20260604,15:00,242.6333,175.6764,66.957,66.957
20260604,16:00,235.0149,161.465,73.5499,73.5499
20260604,17:00,221.0608,145.0502,76.5669,76.5669
20260604,18:00,144.6212,110.4547,35.4061,35.4061
20260604,19:00,142.3917,111.9378,30.4539,30.4539
20260604,20:00,87.75,70.7892,23.3008,23.3008
20260604,21:00,40.625,25.327,15.298,15.298
20260604,22:00,38.325,29.6867,10.4477,10.4477
20260604,23:00,50.075,37.5897,12.7087,12.7087
20260605,00:00,225.7417,185.7076,47.5355,47.5355
20260605,01:00,47.7,31.4136,19.8193,19.8193
20260605,02:00,122.2,97.0509,27.3864,27.3864
20260605,03:00,93.8583,92.0313,13.2306,13.2306
20260605,04:00,31.025,23.7327,8.9123,8.9123
20260605,05:00,113.7495,87.8434,28.1422,28.1422
20260605,06:00,167.8838,145.9325,29.6376,29.6376
20260605,07:00,256.3899,217.3943,44.0096,44.0096
20260605,08:00,323.8516,269.3625,54.4891,54.4891
20260605,09:00,375.6856,267.2618,108.4238,108.4238
