日期,小时,是否夜间,总站总负载(度),订单充电量(度),原拟合工厂用电(度),夜间基础负荷封顶值(度),夜间超基线残余(度),新版修正后厂区用电(度)
20260601,00:00,是,305.1,265.0259,50.7247,8.1375,42.5872,8.1375
20260601,01:00,是,94.6583,96.9948,9.2689,8.1375,1.1314,8.1375
20260601,02:00,是,69.675,5.5243,65.985,8.1375,57.8475,8.1375
20260601,03:00,是,108.625,72.715,39.5007,8.1375,31.3632,8.1375
20260601,04:00,是,82.4,62.953,21.1087,8.1375,12.9712,8.1375
20260601,05:00,是,36.3518,37.9332,6.0438,6.0438,0.0,6.0438
20260601,06:00,否,158.8675,144.8594,22.6485,0.0,0.0,22.6485
20260601,07:00,否,271.0267,239.5672,43.6134,0.0,0.0,43.6134
20260601,08:00,否,187.9892,142.1438,46.2718,0.0,0.0,46.2718
20260601,09:00,否,169.3802,90.6561,78.724,0.0,0.0,78.724
20260601,10:00,否,217.962,155.7863,62.1757,0.0,0.0,62.1757
20260601,11:00,否,230.0641,164.0245,66.6026,0.0,0.0,66.6026
20260601,12:00,否,431.76,332.6984,112.2516,0.0,0.0,112.2516
20260601,13:00,否,343.4064,271.0556,75.7229,0.0,0.0,75.7229
20260601,14:00,否,235.6374,160.6738,74.9636,0.0,0.0,74.9636
20260601,15:00,否,158.3537,78.5841,79.7697,0.0,0.0,79.7697
20260601,16:00,否,157.8674,107.26,55.3155,0.0,0.0,55.3155
20260601,17:00,否,180.7343,104.6896,76.0448,0.0,0.0,76.0448
20260601,18:00,是,141.8912,121.2083,25.1233,8.1375,16.9858,8.1375
20260601,19:00,是,50.5038,37.1399,14.242,8.1375,6.1045,8.1375
20260601,20:00,是,59.175,49.2476,12.042,8.1375,3.9045,8.1375
20260601,21:00,是,31.525,20.3902,11.1348,8.1375,2.9973,8.1375
20260601,22:00,是,32.2417,20.1313,14.4821,8.1375,6.3446,8.1375
20260601,23:00,是,15.2083,8.2538,8.2034,8.1375,0.0659,8.1375
20260602,00:00,是,284.95,270.1578,54.6539,8.1375,46.5164,8.1375
20260602,01:00,是,72.9167,48.185,25.7154,8.1375,17.5779,8.1375
20260602,02:00,是,111.2167,93.6196,20.6803,8.1375,12.5428,8.1375
20260602,03:00,是,149.25,135.5578,24.3951,8.1375,16.2576,8.1375
20260602,04:00,是,56.7667,46.0928,16.9146,8.1375,8.7771,8.1375
20260602,05:00,是,97.2675,89.1998,12.2635,8.1375,4.126,8.1375
20260602,06:00,否,92.4914,78.3929,15.9846,0.0,0.0,15.9846
20260602,07:00,否,366.2254,315.8228,56.345,0.0,0.0,56.345
20260602,08:00,否,261.4542,211.6527,49.8015,0.0,0.0,49.8015
20260602,09:00,否,271.8976,172.4021,99.4955,0.0,0.0,99.4955
20260602,10:00,否,306.1488,223.9041,83.2698,0.0,0.0,83.2698
20260602,11:00,否,243.6446,171.8713,73.0572,0.0,0.0,73.0572
20260602,12:00,否,397.8841,330.9444,68.0338,0.0,0.0,68.0338
20260602,13:00,否,359.7327,283.9084,76.357,0.0,0.0,76.357
20260602,14:00,否,282.048,187.6074,94.4406,0.0,0.0,94.4406
20260602,15:00,否,164.4104,90.1505,74.2599,0.0,0.0,74.2599
20260602,16:00,否,180.4958,95.5607,84.9352,0.0,0.0,84.9352
20260602,17:00,否,238.8647,169.302,72.8592,0.0,0.0,72.8592
20260602,18:00,是,165.3408,137.8719,32.9871,8.1375,24.8496,8.1375
20260602,19:00,是,136.0543,116.3876,23.3428,8.1375,15.2053,8.1375
20260602,20:00,是,76.925,63.2803,21.57,8.1375,13.4325,8.1375
20260602,21:00,是,57.0,42.799,15.4686,8.1375,7.3311,8.1375
20260602,22:00,是,66.5,47.3431,19.975,8.1375,11.8375,8.1375
20260602,23:00,是,59.375,44.262,16.3291,8.1375,8.1916,8.1375
20260603,00:00,是,293.5917,269.802,45.3585,8.1375,37.221,8.1375
20260603,01:00,是,55.3583,44.4635,13.5844,8.1375,5.4469,8.1375
20260603,02:00,是,151.7083,117.9424,36.4715,8.1375,28.334,8.1375
20260603,03:00,是,159.2917,131.8691,33.3346,8.1375,25.1971,8.1375
20260603,04:00,是,135.0833,136.1205,11.0845,8.1375,2.947,8.1375
20260603,05:00,是,67.7496,54.2297,22.0854,8.1375,13.9479,8.1375
20260603,06:00,否,146.3868,123.4821,31.4485,0.0,0.0,31.4485
20260603,07:00,否,219.8009,198.1412,28.4194,0.0,0.0,28.4194
20260603,08:00,否,231.933,176.917,55.4919,0.0,0.0,55.4919
20260603,09:00,否,274.9701,212.7266,63.5557,0.0,0.0,63.5557
20260603,10:00,否,304.7979,202.3788,102.4191,0.0,0.0,102.4191
20260603,11:00,否,304.4306,187.8056,116.625,0.0,0.0,116.625
20260603,12:00,否,340.7229,266.5169,74.206,0.0,0.0,74.206
20260603,13:00,否,378.346,300.6811,77.7114,0.0,0.0,77.7114
20260603,14:00,否,171.6635,81.0953,90.5682,0.0,0.0,90.5682
20260603,15:00,否,160.6823,85.772,74.9102,0.0,0.0,74.9102
20260603,16:00,否,276.0153,217.5617,58.8003,0.0,0.0,58.8003
20260603,17:00,否,232.6762,143.2661,92.5015,0.0,0.0,92.5015
20260603,18:00,是,229.0603,199.0807,36.0927,8.1375,27.9552,8.1375
20260603,19:00,是,189.0797,155.2368,39.7752,8.1375,31.6377,8.1375
20260603,20:00,是,111.975,93.5721,20.7084,8.1375,12.5709,8.1375
20260603,21:00,是,59.675,44.9197,14.7553,8.1375,6.6178,8.1375
20260603,22:00,是,9.2,1.9702,8.475,8.1375,0.3375,8.1375
20260603,23:00,是,79.775,66.4192,19.1889,8.1375,11.0514,8.1375
20260604,00:00,是,207.8583,186.5641,32.6809,8.1375,24.5434,8.1375
20260604,01:00,是,47.7917,43.8076,10.1228,8.1375,1.9853,8.1375
20260604,02:00,是,81.7583,59.2039,24.4313,8.1375,16.2938,8.1375
20260604,03:00,是,184.8917,128.4585,57.9697,8.1375,49.8322,8.1375
20260604,04:00,是,49.1667,74.6926,1.7266,1.7266,0.0,1.7266
20260604,05:00,是,61.5748,42.1129,24.6685,8.1375,16.531,8.1375
20260604,06:00,否,148.2655,123.6865,25.0771,0.0,0.0,25.0771
20260604,07:00,否,297.6558,261.5731,38.9609,0.0,0.0,38.9609
20260604,08:00,否,341.1568,267.1471,75.0435,0.0,0.0,75.0435
20260604,09:00,否,328.6739,244.3943,85.2755,0.0,0.0,85.2755
20260604,10:00,否,270.4992,186.701,84.8882,0.0,0.0,84.8882
20260604,11:00,否,304.1631,208.0473,96.1158,0.0,0.0,96.1158
