时间,储能有功功率(kW),电网功率(kW),负载功率(kW),SOC(%),光伏发电功率(kW)
2026-05-04 00:00:00,-45.0,-162.6,-117.1,3,0.0
2026-05-04 00:05:00,-44.9,-339.6,-294.7,4,0.008
2026-05-04 00:10:00,-45.0,-406.2,-361.2,6,0.015
2026-05-04 00:15:00,-44.8,-395.4,-350.6,7,0.023
2026-05-04 00:20:00,-45.0,-494.1,-449.1,8,0.03
2026-05-04 00:25:00,-44.8,-398.4,-353.4,10,0.038
2026-05-04 00:30:00,-44.9,-372.6,-327.6,11,0.046
2026-05-04 00:35:00,-44.9,-331.2,-286.2,12,0.053
2026-05-04 00:40:00,-45.0,-248.7,-203.7,14,0.061
2026-05-04 00:45:00,-44.9,-343.8,-298.9,15,0.068
2026-05-04 00:50:00,-44.8,-285.3,-240.5,16,0.076
2026-05-04 00:55:00,-45.0,-249.6,-204.7,18,0.084
2026-05-04 01:00:00,-44.9,-185.1,-140.2,19,0.091
2026-05-04 01:05:00,-45.1,-220.2,-175.2,20,0.099
2026-05-04 01:10:00,-45.0,-166.8,-121.8,22,0.106
2026-05-04 01:15:00,-45.0,-152.7,-107.7,23,0.114
2026-05-04 01:20:00,-44.9,-122.7,-77.8,24,0.122
2026-05-04 01:25:00,-44.9,-174.3,-129.4,25,0.129
2026-05-04 01:30:00,-45.0,-141.0,-96.0,27,0.137
2026-05-04 01:35:00,-45.0,-140.4,-95.4,28,0.144
2026-05-04 01:40:00,-45.1,-137.4,-92.3,29,0.152
2026-05-04 01:45:00,-45.0,-87.3,-42.2,30,0.16
2026-05-04 01:50:00,-44.9,-60.0,-15.1,31,0.167
2026-05-04 01:55:00,-44.9,-63.0,-18.2,33,0.175
2026-05-04 02:00:00,-44.8,-59.7,-14.8,34,0.182
2026-05-04 02:05:00,-45.0,-214.5,-169.6,35,0.19
2026-05-04 02:10:00,-44.8,-207.0,-162.0,36,0.198
2026-05-04 02:15:00,-45.0,-208.5,-163.5,37,0.205
2026-05-04 02:20:00,-45.0,-283.2,-238.1,39,0.213
2026-05-04 02:25:00,-45.0,-172.5,-127.5,40,0.22
2026-05-04 02:30:00,-44.9,-146.4,-101.4,41,0.228
2026-05-04 02:35:00,-44.9,-163.8,-118.7,42,0.236
2026-05-04 02:40:00,-45.0,-126.3,-81.4,43,0.243
2026-05-04 02:45:00,-44.9,-254.7,-209.8,45,0.251
2026-05-04 02:50:00,-44.9,-236.7,-191.8,46,0.258
2026-05-04 02:55:00,-45.0,-196.5,-151.5,47,0.266
2026-05-04 03:00:00,-45.0,-190.8,-145.8,48,0.274
2026-05-04 03:05:00,-44.9,-128.4,-83.5,49,0.281
2026-05-04 03:10:00,-45.0,-84.3,-39.4,51,0.289
2026-05-04 03:15:00,-45.0,-73.8,-28.9,52,0.296
2026-05-04 03:20:00,-44.9,-71.7,-26.9,53,0.304
2026-05-04 03:25:00,-45.1,-69.6,-24.7,54,0.312
2026-05-04 03:30:00,-45.0,-169.5,-124.5,55,0.319
2026-05-04 03:35:00,-45.0,-149.4,-104.4,57,0.327
2026-05-04 03:40:00,-45.0,-135.9,-91.1,58,0.334
2026-05-04 03:45:00,-44.8,-232.5,-187.5,59,0.342
2026-05-04 03:50:00,-45.0,-222.0,-177.0,60,0.35
2026-05-04 03:55:00,-45.0,-198.3,-153.3,61,0.357
2026-05-04 04:00:00,-45.0,-181.5,-136.6,63,0.365
2026-05-04 04:05:00,-44.9,-128.7,-83.8,64,0.372
2026-05-04 04:10:00,-44.8,-128.4,-83.4,65,0.38
2026-05-04 04:15:00,-44.9,-78.3,-33.2,66,0.388
2026-05-04 04:20:00,-44.9,-63.9,-18.9,67,0.395
2026-05-04 04:25:00,-44.8,-63.6,-18.8,69,0.403
2026-05-04 04:30:00,-44.9,-72.3,-27.4,70,0.41
2026-05-04 04:35:00,-45.0,-116.7,-71.7,71,0.418
2026-05-04 04:40:00,-45.1,-109.8,-64.9,72,0.426
2026-05-04 04:45:00,-45.0,-102.9,-57.9,73,0.433
2026-05-04 04:50:00,-45.0,-103.8,-58.9,75,0.441
2026-05-04 04:55:00,-44.9,-102.0,-57.0,76,0.448
2026-05-04 05:00:00,-44.9,-93.0,-48.0,77,0.456
2026-05-04 05:05:00,-45.1,-93.6,-48.7,78,0.464
2026-05-04 05:10:00,-45.0,-93.9,-48.9,79,0.471
2026-05-04 05:15:00,-45.0,-71.4,-26.4,81,0.479
2026-05-04 05:20:00,-45.0,-52.8,-7.7,82,0.348
2026-05-04 05:25:00,-44.9,-50.4,-5.4,83,0.312
2026-05-04 05:30:00,-44.9,-160.5,-115.5,84,0.312
2026-05-04 05:35:00,-44.9,-162.3,-117.4,85,0.485
2026-05-04 05:40:00,-45.0,-156.9,-111.9,87,0.485
2026-05-04 05:45:00,-45.0,-151.5,-106.5,88,0.485
2026-05-04 05:50:00,-44.9,-120.6,-75.6,89,1.177
2026-05-04 05:55:00,-44.9,-99.3,-54.5,90,2.216
2026-05-04 06:00:00,-44.9,-86.4,-41.4,92,3.6
2026-05-04 06:05:00,-45.0,-116.7,-71.7,93,5.091
2026-05-04 06:10:00,-13.0,-61.5,-48.6,96,7.664
2026-05-04 06:15:00,0.0,-38.1,-38.1,98,9.881
2026-05-04 06:20:00,0.0,-35.4,-35.4,98,12.222
2026-05-04 06:25:00,0.0,-36.0,-36.0,98,15.522
2026-05-04 06:30:00,0.0,-68.1,-68.1,98,20.121
2026-05-04 06:35:00,0.0,-156.0,-156.0,98,22.295
2026-05-04 06:40:00,0.0,-193.5,-193.5,98,23.501
2026-05-04 06:45:00,0.0,-297.3,-297.3,98,26.596
2026-05-04 06:50:00,0.0,-291.3,-291.3,98,24.23
2026-05-04 06:55:00,0.0,-244.5,-244.5,98,29.633
2026-05-04 07:00:00,0.0,-194.4,-194.4,98,50.103
2026-05-04 07:05:00,0.0,-79.5,-79.5,98,83.439
2026-05-04 07:10:00,0.0,-57.9,-57.9,98,86.695
2026-05-04 07:15:00,0.0,-191.7,-191.7,98,69.149
2026-05-04 07:20:00,0.0,-200.1,-200.1,98,40.932
2026-05-04 07:25:00,0.0,-129.9,-129.9,98,27.229
2026-05-04 07:30:00,0.0,-53.1,-53.1,98,53.088
2026-05-04 07:35:00,0.0,-45.0,-45.0,98,66.635
2026-05-04 07:40:00,0.0,-69.0,-69.0,98,56.854
2026-05-04 07:45:00,0.0,-18.3,-18.3,98,100.949
2026-05-04 07:50:00,0.0,13.5,13.5,98,133.792
2026-05-04 07:55:00,0.0,2.7,2.7,98,113.041
2026-05-04 08:00:00,0.0,5.4,5.4,98,92.226
2026-05-04 08:05:00,67.1,-5.7,-72.7,98,76.88
2026-05-04 08:10:00,124.9,-34.8,-159.5,95,58.459
2026-05-04 08:15:00,92.5,-5.4,-97.5,92,58.115
2026-05-04 08:20:00,67.8,-5.1,-72.1,90,65.937
2026-05-04 08:25:00,124.9,-53.7,-178.6,86,78.551
2026-05-04 08:30:00,124.9,-125.7,-250.7,83,72.174
2026-05-04 08:35:00,124.9,-116.7,-241.6,79,86.71
2026-05-04 08:40:00,124.8,-68.7,-193.5,75,54.428
2026-05-04 08:45:00,89.3,-3.6,-93.5,72,45.11
2026-05-04 08:50:00,21.9,-5.7,-27.7,70,35.404
2026-05-04 08:55:00,27.9,-5.4,-33.1,70,51.622
2026-05-04 09:00:00,85.9,-5.4,-92.4,68,59.857
2026-05-04 09:05:00,64.7,-6.0,-70.3,66,58.903
2026-05-04 09:10:00,17.7,-5.7,-23.5,65,72.406
2026-05-04 09:15:00,39.0,-6.0,-45.2,64,85.073
2026-05-04 09:20:00,109.9,-6.0,-116.0,62,92.099
2026-05-04 09:25:00,56.1,-6.6,-62.8,59,100.534
2026-05-04 09:30:00,123.6,-9.9,-133.8,56,89.992
2026-05-04 09:35:00,125.3,-114.0,-239.2,52,68.712
2026-05-04 09:40:00,125.0,-197.7,-322.4,48,53.743
2026-05-04 09:45:00,125.1,-162.0,-286.9,44,49.817
2026-05-04 09:50:00,124.6,-127.5,-252.1,40,51.395
2026-05-04 09:55:00,124.9,-39.0,-164.3,37,62.727
2026-05-04 10:00:00,56.1,-6.3,-62.4,34,65.64
2026-05-04 10:05:00,93.5,-6.3,-99.9,32,53.56
2026-05-04 10:10:00,76.5,-6.0,-82.5,30,45.294
2026-05-04 10:15:00,32.0,-6.0,-38.0,27,39.524
2026-05-04 10:20:00,37.3,-6.0,-43.1,26,39.448
2026-05-04 10:25:00,1.9,-6.9,-8.9,26,36.416
2026-05-04 10:30:00,0.6,-6.0,-6.5,26,31.123
2026-05-04 10:35:00,0.0,-5.4,-5.4,26,34.802
2026-05-04 10:40:00,57.3,-6.0,-63.0,25,58.114
2026-05-04 10:45:00,124.8,-111.0,-235.8,23,72.146
2026-05-04 10:50:00,125.4,-201.0,-325.3,20,61.001
2026-05-04 10:55:00,125.2,-143.1,-268.1,16,49.242
2026-05-04 11:00:00,124.4,-45.6,-170.1,12,51.678
2026-05-04 11:05:00,125.0,-62.4,-187.3,8,42.777
2026-05-04 11:10:00,0.0,-132.3,-132.3,3,38.81
2026-05-04 11:15:00,0.0,-84.6,-84.6,3,45.549
2026-05-04 11:20:00,0.0,-9.9,-9.9,3,81.524
2026-05-04 11:25:00,0.0,-36.0,-36.0,3,80.256
2026-05-04 11:30:00,0.0,-43.8,-43.8,3,67.202
2026-05-04 11:35:00,0.0,-15.0,-15.0,3,56.875
2026-05-04 11:40:00,0.0,-32.1,-32.1,3,39.124
2026-05-04 11:45:00,0.0,-44.4,-44.4,3,26.899
2026-05-04 11:50:00,0.0,-90.9,-90.9,3,19.213
2026-05-04 11:55:00,0.0,-349.2,-349.2,3,21.155
2026-05-04 12:00:00,-125.3,-580.8,-455.5,3,28.794
2026-05-04 12:05:00,-124.9,-537.0,-412.1,7,31.713
2026-05-04 12:10:00,-125.1,-448.5,-323.4,10,57.074
2026-05-04 12:15:00,-125.0,-381.3,-256.3,14,64.261
2026-05-04 12:20:00,-125.1,-334.5,-209.5,17,57.498
2026-05-04 12:25:00,-125.1,-302.1,-177.3,21,48.113
2026-05-04 12:30:00,-125.0,-223.2,-98.2,24,53.473
2026-05-04 12:35:00,-124.8,-195.9,-70.8,28,69.344
2026-05-04 12:40:00,-125.0,-298.8,-173.8,31,82.025
2026-05-04 12:45:00,-124.7,-285.0,-160.0,34,113.461
2026-05-04 12:50:00,-125.0,-262.8,-137.9,38,158.873
2026-05-04 12:55:00,-125.0,-316.8,-191.9,41,144.801
2026-05-04 13:00:00,-124.8,-251.1,-126.3,45,138.116
2026-05-04 13:05:00,-124.8,-341.1,-216.1,48,128.478
2026-05-04 13:10:00,-125.0,-388.8,-263.8,51,117.396
2026-05-04 13:15:00,-124.7,-342.0,-217.2,55,103.371
2026-05-04 13:20:00,-125.1,-240.0,-115.1,58,91.722
2026-05-04 13:25:00,-125.0,-176.1,-51.1,62,90.307
2026-05-04 13:30:00,-125.0,-380.1,-255.1,65,98.549
2026-05-04 13:35:00,-125.0,-495.3,-370.3,68,108.453
2026-05-04 13:40:00,-124.9,-438.9,-313.9,72,125.374
2026-05-04 13:45:00,-124.7,-398.4,-273.7,75,136.905
2026-05-04 13:50:00,-125.0,-412.2,-287.4,79,146.544
2026-05-04 13:55:00,-125.1,-282.6,-157.6,82,148.302
2026-05-04 14:00:00,69.9,-3.9,-73.8,85,117.192
2026-05-04 14:05:00,25.8,-6.0,-31.8,84,104.88
2026-05-04 14:10:00,-29.4,-5.4,24.1,84,105.768
2026-05-04 14:15:00,-62.9,-5.1,57.8,85,150.448
2026-05-04 14:20:00,-102.1,-5.1,96.9,87,142.101
2026-05-04 14:25:00,-72.1,-7.2,64.7,90,113.48
2026-05-04 14:30:00,-49.3,-5.7,43.5,91,113.067
2026-05-04 14:35:00,-18.7,-6.0,12.7,92,90.152
2026-05-04 14:40:00,-10.0,-5.7,4.4,93,80.339
2026-05-04 14:45:00,72.9,-5.7,-78.6,92,90.956
2026-05-04 14:50:00,117.9,-6.0,-124.2,91,80.104
2026-05-04 14:55:00,124.6,-56.7,-181.8,88,70.121
2026-05-04 15:00:00,116.5,-5.7,-122.2,84,63.827
2026-05-04 15:05:00,83.4,-5.7,-89.4,81,52.228
2026-05-04 15:10:00,-40.2,-5.7,34.5,81,43.814
2026-05-04 15:15:00,125.0,-45.0,-170.1,78,43.066
2026-05-04 15:20:00,112.1,-6.3,-118.6,74,46.905
2026-05-04 15:25:00,67.7,-3.9,-72.2,72,64.155
2026-05-04 15:30:00,18.1,-8.4,-26.4,71,72.839
2026-05-04 15:35:00,-2.1,-5.4,-3.3,71,67.681
2026-05-04 15:40:00,-18.1,-6.0,12.3,72,82.09
2026-05-04 15:45:00,-25.0,-6.0,18.9,72,76.671
2026-05-04 15:50:00,13.3,-6.0,-19.3,72,67.1
2026-05-04 15:55:00,99.9,-6.3,-106.2,71,64.612
