"date","hour","realtime_price_yuan_per_MWh"
"2026-07-11","00:00","469.8"
"2026-07-11","01:00","416.53"
"2026-07-11","02:00","374.73"
"2026-07-11","03:00","365.15"
"2026-07-11","04:00","352.98"
"2026-07-11","05:00","330.73"
"2026-07-11","06:00","333.95"
"2026-07-11","07:00","316.19"
"2026-07-11","08:00","303.61"
"2026-07-11","09:00","295.88"
"2026-07-11","10:00","291.85"
"2026-07-11","11:00","278.25"
"2026-07-11","12:00","225.68"
"2026-07-11","13:00","255.68"
"2026-07-11","14:00","268.48"
"2026-07-11","15:00","298.28"
"2026-07-11","16:00","408.1"
"2026-07-11","17:00","454.76"
"2026-07-11","18:00","467.91"
"2026-07-11","19:00","515.58"
"2026-07-11","20:00","511.09"
"2026-07-11","21:00","717.23"
"2026-07-11","22:00","446.02"
"2026-07-11","23:00","515.24"
"2026-07-12","00:00","723.09"
"2026-07-12","01:00","640.19"
"2026-07-12","02:00","414.02"
"2026-07-12","03:00","378.3"
"2026-07-12","04:00","360.96"
"2026-07-12","05:00","352.46"
"2026-07-12","06:00","340.06"
"2026-07-12","07:00","314.53"
"2026-07-12","08:00","267.1"
"2026-07-12","09:00","339.34"
"2026-07-12","10:00","233.82"
"2026-07-12","11:00","245.79"
"2026-07-12","12:00","335.28"
"2026-07-12","13:00","465.58"
"2026-07-12","14:00","417.69"
"2026-07-12","15:00","473.41"
"2026-07-12","16:00","526.09"
"2026-07-12","17:00","526.29"
"2026-07-12","18:00","507.13"
"2026-07-12","19:00","609.11"
"2026-07-12","20:00","947.85"
"2026-07-12","21:00","1560.88"
"2026-07-12","22:00","1571.42"
"2026-07-12","23:00","998.44"
"2026-07-13","00:00","1000.61"
"2026-07-13","01:00","827.66"
"2026-07-13","02:00","466.63"
"2026-07-13","03:00","390.18"
"2026-07-13","04:00","368.08"
"2026-07-13","05:00","357.64"
"2026-07-13","06:00","372.75"
"2026-07-13","07:00","343.46"
"2026-07-13","08:00","433.96"
"2026-07-13","09:00","485.63"
"2026-07-13","10:00","477.63"
"2026-07-13","11:00","683.71"
"2026-07-13","12:00","559.12"
"2026-07-13","13:00","639.95"
"2026-07-13","14:00","641.23"
"2026-07-13","15:00","605.04"
"2026-07-13","16:00","606.42"
"2026-07-13","17:00","565.05"
"2026-07-13","18:00","498.25"
"2026-07-13","19:00","579.53"
"2026-07-13","20:00","501.62"
"2026-07-13","21:00","669.41"
"2026-07-13","22:00","578.41"
"2026-07-13","23:00","466.83"
"2026-07-14","00:00","865.34"
"2026-07-14","01:00","830.1"
"2026-07-14","02:00","498.29"
"2026-07-14","03:00","386.95"
"2026-07-14","04:00","367.07"
"2026-07-14","05:00","359.03"
"2026-07-14","06:00","354.51"
"2026-07-14","07:00","340.03"
"2026-07-14","08:00","358.24"
"2026-07-14","09:00","450.82"
"2026-07-14","10:00","373.48"
"2026-07-14","11:00","355.48"
"2026-07-14","12:00","381.14"
"2026-07-14","13:00","379.58"
"2026-07-14","14:00","363.47"
"2026-07-14","15:00","378.92"
"2026-07-14","16:00","442.11"
"2026-07-14","17:00","441.98"
"2026-07-14","18:00","385.37"
"2026-07-14","19:00","394.72"
"2026-07-14","20:00","387.64"
"2026-07-14","21:00","487.19"
"2026-07-14","22:00","349.96"
"2026-07-14","23:00","359.62"
